	SNP	Chromosome	Position	trait1	symbol
424	ENSG00000198342	19	12460184	0.000519143225298936	ZNF442
425	ENSG00000163623	4	85413139	0.000531073614184956	NKX6-1
426	ENSG00000167034	8	23536205	0.000535853301900585	NKX3-1
427	ENSG00000198453	19	37407265	0.000542325262666696	ZNF568
428	ENSG00000153814	7	27870191	0.000559050900844655	JAZF1
429	ENSG00000183072	5	172659111	0.000561062150486059	NKX2-5
430	ENSG00000137871	15	56922378	0.000563721013291239	ZNF280D
431	ENSG00000001167	6	41040683	0.00057400595780668	NFYA
432	ENSG00000178187	5	178368191	0.000585739532993189	ZNF454
433	ENSG00000167074	22	41763336	0.000622703150757732	TEF
434	ENSG00000064961	19	3572774	0.000626649994518787	HMG20B
435	ENSG00000189120	17	45922278	0.000650086296222291	SP6
436	ENSG00000165061	8	40388108	0.000652382142956364	ZMAT4
437	ENSG00000198795	18	22641889	0.000653775289044299	ZNF521
438	ENSG00000188171	19	20802866	0.000654890607164533	ZNF626
439	ENSG00000131196	18	77155855	0.000675437974106693	NFATC1
440	ENSG00000101096	20	50003493	0.000689380048983104	NFATC2
441	ENSG00000174428	7	74508363	0.00069641097130915	GTF2IRD2B
442	ENSG00000085644	16	3179777	0.000707818363923755	ZNF213
443	ENSG00000198464	19	52800429	0.000723123568536063	ZNF480
444	ENSG00000196646	19	12273878	0.000731025672734195	ZNF136
445	ENSG00000176407	2	85198215	0.000731562850364623	KCMF1
446	ENSG00000173068	9	16409500	0.000733869091622756	BNC2
447	ENSG00000165030	9	94171326	0.000735585709425279	NFIL3
449	ENSG00000197054	19	12035889	0.000745553560504262	ZNF763
451	ENSG00000102878	16	67197287	0.000766434739603811	HSF4
452	ENSG00000159592	1	46092975	0.000785025946923988	GPBP1L1
453	ENSG00000043355	13	100634025	0.000789065232396678	ZIC2
454	ENSG00000170370	10	119301954	0.000802862242057278	EMX2
455	ENSG00000159905	19	44455374	0.000814071144426462	ZNF221
456	ENSG00000269699	19	57285919	0.000815801044834239	ZIM2
457	ENSG00000178573	16	79619739	0.000822855519147035	MAF
458	ENSG00000162761	1	165171103	0.000841053936171723	LMX1A
459	ENSG00000170631	8	146155743	0.000847064040367854	ZNF16
460	ENSG00000108509	17	4871286	0.000856301501979736	CAMTA2
461	ENSG00000186416	23	118722299	0.000865927538008367	NKRF
462	ENSG00000115297	2	74740589	0.000880083079345358	TLX2
463	ENSG00000102908	16	69598996	0.00088154629955036	NFAT5
464	ENSG00000151702	11	128556429	0.000890961233775813	FLI1
465	ENSG00000109787	4	38665816	0.000893994332831293	KLF3
466	ENSG00000180818	12	54378848	0.000903014439419047	HOXC10
467	ENSG00000140265	15	43650369	0.000907953123073855	ZSCAN29
468	ENSG00000006194	16	3313742	0.000908038853966541	ZNF263
469	ENSG00000129535	14	24549315	0.000929717720199247	NRL
470	ENSG00000185420	1	245912641	0.000943421306446598	SMYD3
471	ENSG00000180855	19	12540520	0.000966251141887615	ZNF443
472	ENSG00000167528	12	48733790	0.000969650143716185	ZNF641
473	ENSG00000126351	17	38214542	0.000973539879210135	THRA
474	ENSG00000069011	5	134363424	0.000990112356886043	PITX1
475	ENSG00000258405	19	52956828	0.0009971713923397	ZNF578
476	ENSG00000113580	5	142657495	0.00100172128399405	NR3C1
477	ENSG00000008441	19	13106421	0.00102279013871063	NFIX
478	ENSG00000165702	9	135820931	0.00102829667614332	GFI1B
479	ENSG00000181896	19	19779662	0.00103150743728769	ZNF101
480	ENSG00000134852	4	56294069	0.00103664458321799	CLOCK
481	ENSG00000133937	14	95234552	0.00103875076155176	GSC
482	ENSG00000165259	23	83572881	0.00104089359985138	HDX
483	ENSG00000197757	12	54384407	0.0010424962408192	HOXC6
484	ENSG00000197044	19	11877814	0.00110414774697361	ZNF441
485	ENSG00000147862	9	14081841	0.00111154422719756	NFIB
486	ENSG00000163792	2	27371871	0.00112617834066394	TCF23
487	ENSG00000171827	19	37958486	0.00116553161251271	ZNF570
488	ENSG00000102804	13	45007654	0.00116704172688251	TSC22D1
489	ENSG00000153207	1	247002399	0.00117805124648025	AHCTF1
490	ENSG00000102901	16	67862059	0.0011917571552808	CENPT
491	ENSG00000139515	13	28494156	0.00124981156537733	PDX1
492	ENSG00000184271	12	51580718	0.0012580283156896	POU6F1
493	ENSG00000104856	19	45504687	0.0012589406075779	RELB
494	ENSG00000143578	1	153940009	0.00128483753945078	CREB3L4
495	ENSG00000144792	3	44619714	0.00130195042969546	ZNF660
496	ENSG00000120837	12	104510854	0.0013025337256293	NFYB
497	ENSG00000165156	8	124260695	0.00136573454863563	ZHX1
498	ENSG00000175691	19	2933215	0.00136769731376364	ZNF77
499	ENSG00000196757	19	12035882	0.00138562926723731	ZNF700
500	ENSG00000160352	19	21264964	0.00140633585851709	ZNF714
501	ENSG00000260027	17	46684593	0.00144979066312031	HOXB7
502	ENSG00000213973	19	22939006	0.00145774930782453	ZNF99
503	ENSG00000152284	2	85360532	0.00146944931074454	TCF7L1
504	ENSG00000179111	17	8023907	0.00147044409558981	HES7
505	ENSG00000142409	19	56598731	0.00148164667753758	ZNF787
506	ENSG00000144161	2	112969101	0.00150405507596046	ZC3H8
507	ENSG00000213999	19	19256376	0.00150978820635569	MEF2B
508	ENSG00000106511	7	15650836	0.00159830844521561	MEOX2
509	ENSG00000122034	13	27998680	0.00169113785836055	GTF3A
510	ENSG00000196345	3	44596684	0.00169684045297251	ZKSCAN7
511	ENSG00000174652	19	9523271	0.00169712123215855	ZNF266
512	ENSG00000256223	12	133707160	0.00176251471948244	ZNF10
513	ENSG00000198040	12	133613877	0.00177809955761661	ZNF84
514	ENSG00000101493	18	74069643	0.00185063395625903	ZNF516
515	ENSG00000103241	16	86544132	0.00185346075231903	FOXF1
516	ENSG00000204947	7	148799875	0.00186778594446175	ZNF425
517	ENSG00000037965	12	54402831	0.00187835327186109	HOXC8
518	ENSG00000128714	2	176957618	0.00188185669795218	HOXD13
519	ENSG00000164631	7	6728063	0.00190480256717224	ZNF12
520	ENSG00000072736	16	68118653	0.00206085371068799	NFATC3
521	ENSG00000249471	19	58962970	0.00209259640689819	ZNF324B
522	ENSG00000115041	2	95963051	0.00215862347035541	KCNIP3
523	ENSG00000100207	22	42556018	0.00218622730757498	TCF20
524	ENSG00000197714	19	57791418	0.00226408589740881	ZNF460
525	ENSG00000152192	13	79172496	0.00226540256823433	POU4F1
526	ENSG00000172733	8	30853320	0.00227226801491207	PURG
527	ENSG00000171786	1	160336856	0.00227373238400227	NHLH1
528	ENSG00000198205	23	57931863	0.00231317649596542	ZXDA
529	ENSG00000187187	19	40490040	0.00233801622021797	ZNF546
530	ENSG00000153560	3	33429827	0.0023541075824819	UBP1
531	ENSG00000117010	1	40997232	0.0023806900717362	ZNF684
532	ENSG00000138073	2	27353623	0.00243670940175773	PREB
533	ENSG00000236104	6	33282182	0.00247691143731141	ZBTB22
534	ENSG00000126733	23	85403461	0.00249053181165137	DACH2
535	ENSG00000147117	23	47229981	0.00249783967545638	ZNF157
536	ENSG00000157933	1	2160133	0.00256341343435552	SKI
537	ENSG00000006377	7	96634859	0.00256515348792322	DLX6
538	ENSG00000204531	6	31132118	0.00266454148081597	POU5F1
539	ENSG00000148737	10	114710008	0.00268296070075199	TCF7L2
540	ENSG00000140968	16	85932408	0.00270133698869046	IRF8
541	ENSG00000126705	1	27860545	0.00272040242468149	AHDC1
542	ENSG00000120690	13	41506055	0.00275808580340525	ELF1
543	ENSG00000114439	3	107241782	0.00276418390022481	BBX
544	ENSG00000118513	6	135502452	0.00286781087347224	MYB
545	ENSG00000186026	19	44576296	0.00288820722694569	ZNF284
546	ENSG00000005102	17	41717755	0.00290479921010147	MEOX1
547	ENSG00000113916	3	187439164	0.00291469960435638	BCL6
549	ENSG00000130803	19	9251055	0.00296807907298943	ZNF317
550	ENSG00000185869	19	37379025	0.0029708445271016	ZNF829
551	ENSG00000080603	16	30709529	0.00297546472749904	SRCAP
552	ENSG00000171169	9	130823511	0.00302155108159707	NAIF1
553	ENSG00000103199	16	4798239	0.00305310549966226	ZNF500
554	ENSG00000225614	16	88493878	0.00309843175662247	ZNF469
555	ENSG00000143390	1	151313115	0.0031129851617205	RFX5
556	ENSG00000164107	4	174446119	0.00316779040710283	HAND2
557	ENSG00000229676	19	22817125	0.00318984890464083	ZNF492
558	ENSG00000102189	12	93164412	0.00321326571236756	EEA1
559	ENSG00000169951	16	30565084	0.00326828334277803	ZNF764
560	ENSG00000103343	16	3451234	0.00327788129931612	ZNF174
561	ENSG00000179588	16	88519724	0.00330022725491118	ZFPM1
562	ENSG00000196268	19	21579920	0.00339122885238827	ZNF493
563	ENSG00000102935	16	49521434	0.00340535938046208	ZNF423
564	ENSG00000152784	4	81105032	0.00350036658191306	PRDM8
565	ENSG00000124151	20	46130600	0.00351516734406563	NCOA3
566	ENSG00000110925	12	51454989	0.00351768175987099	CSRNP2
567	ENSG00000196247	7	64126510	0.00360880796616386	ZNF107
568	ENSG00000064218	9	976963	0.00368634176233564	DMRT3
569	ENSG00000121297	19	31765850	0.00368665636055633	TSHZ3
570	ENSG00000179772	20	30432102	0.0037637402296621	FOXS1
571	ENSG00000139445	12	109715783	0.00376840485514513	FOXN4
572	ENSG00000071655	19	1576638	0.00379862474036433	MBD3
573	ENSG00000166261	11	123594884	0.00390763850416285	ZNF202
574	ENSG00000176371	15	85144216	0.00391503370764546	ZSCAN2
575	ENSG00000159387	16	55357671	0.00398293889958458	IRX6
576	ENSG00000100625	14	61176245	0.00400884442321466	SIX4
577	ENSG00000083838	19	58985383	0.00411446543149969	ZNF446
578	ENSG00000157557	21	40177230	0.00427225038138469	ETS2
579	ENSG00000197134	19	22235253	0.00427445440235743	ZNF257
580	ENSG00000124203	20	57766074	0.0044131536989919	ZNF831
581	ENSG00000161551	19	52359054	0.00442229251944865	ZNF577
582	ENSG00000196275	7	74210482	0.00442680667807304	GTF2IRD2
583	ENSG00000005889	23	24167289	0.00456505442845832	ZFX
584	ENSG00000141510	17	7565096	0.00460157370281982	TP53
585	ENSG00000204920	19	44472013	0.00477085938732658	ZNF155
586	ENSG00000182318	19	58838384	0.00486535305340798	ZSCAN22
587	ENSG00000164684	8	81540685	0.00487362065839426	ZNF704
588	ENSG00000184635	19	20011721	0.00487961821759325	ZNF93
589	ENSG00000187626	6	28212400	0.00499940556113128	ZKSCAN4
590	ENSG00000170122	9	116236	0.00505178884846741	FOXD4
591	ENSG00000069812	1	6472477	0.00505923183164966	HES2
592	ENSG00000135457	12	51487445	0.00507354387737768	TFCP2
593	ENSG00000165821	14	21989231	0.00514148362816467	SALL2
594	ENSG00000131116	19	44111370	0.00517042146843641	ZNF428
595	ENSG00000187815	1	40942886	0.00519271316408401	ZFP69
596	ENSG00000118689	6	108881037	0.00540835491349215	FOXO3
597	ENSG00000165556	13	28536273	0.00549048330200724	CDX2
598	ENSG00000149922	16	30097113	0.00553353353252673	TBX6
599	ENSG00000167840	17	5008835	0.00555226558894429	ZNF232
600	ENSG00000214022	7	150065277	0.00561021264452874	REPIN1
601	ENSG00000090612	12	133707569	0.00575337626199633	ZNF268
602	ENSG00000089094	12	121866899	0.00577887735511663	KDM2B
603	ENSG00000106554	7	132469628	0.00582949764661973	CHCHD3
604	ENSG00000126767	23	47494919	0.00629483919596295	ELK1
605	ENSG00000170689	17	46698517	0.00630136997329422	HOXB9
606	ENSG00000137203	6	10393418	0.00630498918813918	TFAP2A
607	ENSG00000177374	17	1957447	0.00632538594866705	HIC1
608	ENSG00000091656	8	77593453	0.0063330575941989	ZFHX4
609	ENSG00000196150	8	146076631	0.00641197793598079	ZNF250
610	ENSG00000132846	5	76367896	0.00642059050591722	ZBED3
611	ENSG00000176472	19	44029648	0.00649724006080667	ZNF575
612	ENSG00000106852	9	124964855	0.00655261980679994	LHX6
613	ENSG00000136451	17	56048909	0.00661132208440089	VEZF1
614	ENSG00000152926	7	64432153	0.00678955203694761	ZNF117
615	ENSG00000100105	22	31721789	0.00698434378537172	PATZ1
616	ENSG00000267680	19	44598491	0.00706088127061305	ZNF224
617	ENSG00000196460	2	102013822	0.00707465150023341	RFX8
618	ENSG00000196628	18	52889561	0.00710873150943935	TCF4
619	ENSG00000164330	5	158122927	0.00731590194781053	EBF1
620	ENSG00000188283	19	37708827	0.00732253413749055	ZNF383
621	ENSG00000010818	6	143072603	0.0073285317450827	HIVEP2
622	ENSG00000077150	10	104153866	0.00750263527655047	NFKB2
623	ENSG00000135164	7	86781676	0.00754351481256207	DMTF1
624	ENSG00000152804	10	94447944	0.00759040891108872	HHEX
625	ENSG00000144355	2	172949467	0.00763771311580264	DLX1
626	ENSG00000137166	6	41514163	0.00782808847496039	FOXP4
627	ENSG00000198146	15	35270541	0.00814554978655138	ZNF770
628	ENSG00000179195	12	124456391	0.00821799167195282	ZNF664
629	ENSG00000116604	1	156433518	0.00827766498180411	MEF2D
630	ENSG00000140632	16	4853203	0.00846380985702434	GLYR1
631	ENSG00000116539	1	155305058	0.00848774739653092	ASH1L
632	ENSG00000124232	20	43935490	0.0086687173580456	RBPJL
633	ENSG00000232237	1	201083080	0.00875374465506207	ASCL5
634	ENSG00000140396	8	71021996	0.00876164529341835	NCOA2
635	ENSG00000102034	23	129198848	0.00881486574912893	ELF4
636	ENSG00000256087	19	52538394	0.00892333975049968	ZNF432
637	ENSG00000189164	19	37862062	0.00917769885051306	ZNF527
638	ENSG00000131931	8	42691816	0.00964891831588342	THAP1
639	ENSG00000177873	3	40518603	0.00986459019582171	ZNF619
640	ENSG00000177888	1	197122809	0.00988344610960016	ZBTB41
641	ENSG00000196812	6	28092337	0.00989816748646122	ZSCAN16
642	ENSG00000187595	17	40177593	0.0099183648747534	ZNF385C
643	ENSG00000137265	6	391738	0.0103363817357575	IRF4
644	ENSG00000143257	1	161199455	0.0103566396853524	NR1I3
645	ENSG00000105136	19	57999078	0.0106107214846524	ZNF419
646	ENSG00000181007	19	36874021	0.0107053050807438	ZFP82
647	ENSG00000132170	3	12328866	0.0107170026698071	PPARG
648	ENSG00000131845	19	57862674	0.0107698169030477	ZNF304
649	ENSG00000092607	1	119425668	0.0111678250129063	TBX15
650	ENSG00000159184	17	46802124	0.0113175702712217	HOXB13
651	ENSG00000132005	19	14072349	0.0117368596707659	RFX1
652	ENSG00000139083	12	11802787	0.0122538125846467	ETV6
653	ENSG00000198824	13	115079987	0.0123081109735067	CHAMP1
654	ENSG00000126464	19	50094899	0.0123315812021025	PRR12
655	ENSG00000158055	1	24645811	0.0123878846303962	GRHL3
657	ENSG00000177599	19	11908481	0.012602125135372	ZNF491
658	ENSG00000168610	17	40465341	0.0131879020085069	STAT3
659	ENSG00000168348	14	36003247	0.0132150839155758	INSM2
660	ENSG00000141040	17	16454700	0.013485944156895	ZNF287
661	ENSG00000123411	12	56401442	0.0135473938673101	IKZF4
662	ENSG00000105127	19	15464195	0.0137008745156522	AKAP8
663	ENSG00000114126	3	141663276	0.0137569642148588	TFDP2
664	ENSG00000171649	19	58089823	0.0137776687872794	ZIK1
665	ENSG00000065526	1	16174358	0.0138186646083902	SPEN
666	ENSG00000143033	1	93544791	0.0139115797476481	MTF2
667	ENSG00000178338	5	178286953	0.013953755111754	ZNF354B
668	ENSG00000160007	19	47421932	0.0145875235572453	ARHGAP35
669	ENSG00000134874	13	96230456	0.0146383405427687	DZIP1
670	ENSG00000237440	19	20718630	0.0147569995908956	ZNF737
671	ENSG00000119403	9	123617976	0.0148350723361789	PHF19
672	ENSG00000175727	12	122516627	0.0149275401871362	MLXIP
673	ENSG00000136352	14	36985601	0.0149330296799754	NKX2-1
674	ENSG00000196458	12	133498018	0.0149595336002476	ZNF605
675	ENSG00000135148	12	112563304	0.0153522482567618	TRAFD1
676	ENSG00000089775	14	64915823	0.0153634213780562	ZBTB25
677	ENSG00000105722	19	42751723	0.0156161913857909	ERF
678	ENSG00000174586	19	58865722	0.0156274781087816	ZNF497
679	ENSG00000204604	19	53341260	0.0156449710434358	ZNF468
680	ENSG00000196653	3	44754134	0.0157253901109848	ZNF502
681	ENSG00000126561	17	40439564	0.0160349158476911	STAT5A
682	ENSG00000198911	22	42229108	0.0160457838662417	SREBF2
683	ENSG00000251493	5	72740653	0.0160864728355044	FOXD1
684	ENSG00000227124	3	75758793	0.0162892521673745	ZNF717
685	ENSG00000178150	19	48675574	0.0168890767180138	ZNF114
686	ENSG00000189420	23	152683779	0.0169993147969178	ZFP92
687	ENSG00000198807	14	37126772	0.0171320146073922	PAX9
688	ENSG00000131914	1	26737268	0.0171436108022975	LIN28A
689	ENSG00000197279	6	28048752	0.0173960717613129	ZNF165
690	ENSG00000174332	1	53971909	0.0175203161569673	GLIS1
691	ENSG00000197363	8	146024260	0.017535141174047	ZNF517
692	ENSG00000106571	7	42000547	0.0175427585114667	GLI3
693	ENSG00000267508	19	44886458	0.017605929266815	ZNF285
694	ENSG00000082641	17	46125720	0.0179402891048093	NFE2L1
695	ENSG00000081386	9	99518146	0.018857384828809	ZNF510
696	ENSG00000164683	8	80676244	0.0189542663289108	HEY1
697	ENSG00000205189	8	81397853	0.0192746918790063	ZBTB10
698	ENSG00000179361	15	74833517	0.0194174127438207	ARID3B
699	ENSG00000204514	19	58360098	0.0196704103196772	ZNF814
700	ENSG00000160113	19	17342691	0.0196903579164616	NR2F6
701	ENSG00000173120	11	66886739	0.0197658649887694	KDM2A
702	ENSG00000251369	19	58046624	0.0198006941994363	ZNF550
703	ENSG00000267041	19	37205284	0.0198966920876991	ZNF850
704	ENSG00000198081	18	5289017	0.0201837178305959	ZBTB14
705	ENSG00000197863	19	37308329	0.020453452569391	ZNF790
706	ENSG00000196605	19	9862668	0.0206184811543939	ZNF846
707	ENSG00000129071	3	129149786	0.0207042261452469	MBD4
708	ENSG00000121417	19	58141760	0.0207123101270042	ZNF211
709	ENSG00000213762	19	58125600	0.0209901711434293	ZNF134
710	ENSG00000186448	3	44626379	0.0213788219661115	ZNF197
711	ENSG00000072310	17	17713712	0.0214869707818844	SREBF1
712	ENSG00000196417	19	53893045	0.0218351338639454	ZNF765
713	ENSG00000102870	16	30789777	0.0219218043384513	ZNF629
714	ENSG00000115966	2	175936977	0.0227270169267499	ATF2
716	ENSG00000171291	19	11959540	0.0228677360787297	ZNF439
717	ENSG00000012223	3	46477135	0.0230675691680834	LTF
718	ENSG00000116819	1	36038970	0.0231114133472731	TFAP2E
719	ENSG00000116809	1	16268363	0.0232167680916486	ZBTB17
720	ENSG00000170549	5	3596167	0.0232370607899604	IRX1
721	ENSG00000196418	1	247285276	0.0232768020772066	ZNF124
722	ENSG00000039600	5	157052686	0.0236287214250789	SOX30
723	ENSG00000105717	19	19672521	0.0237339924202989	PBX4
724	ENSG00000130544	19	7069454	0.0238781398044619	ZNF557
725	ENSG00000197008	7	64254765	0.0239605187600983	ZNF138
726	ENSG00000183340	11	96123152	0.0242167446552825	JRKL
727	ENSG00000171443	19	56111387	0.024237553080828	ZNF524
728	ENSG00000166860	12	57392617	0.0244535802508111	ZBTB39
729	ENSG00000198353	12	54410714	0.0244988377083912	HOXC4
730	ENSG00000121406	19	58038793	0.0252354196558134	ZNF549
731	ENSG00000189042	19	37178513	0.0252904672211183	ZNF567
732	ENSG00000186272	19	57922530	0.0255797462775767	ZNF17
733	ENSG00000164011	1	43312279	0.0256038772086126	ZNF691
734	ENSG00000221869	8	48649470	0.0257594146208023	CEBPD
735	ENSG00000158711	1	205577070	0.025962129738772	ELK4
736	ENSG00000124444	19	44100543	0.0262365343365624	ZNF576
737	ENSG00000134954	11	128328659	0.0273603693869987	ETS1
738	ENSG00000168916	5	123972608	0.0275204761027805	ZNF608
739	ENSG00000133250	19	8575461	0.0282806887607243	ZNF414
740	ENSG00000011590	19	36195428	0.0289806099795552	ZBTB32
741	ENSG00000162924	2	61108655	0.0290677549395579	REL
742	ENSG00000104885	19	2164147	0.0292141553517147	DOT1L
743	ENSG00000197497	19	53662465	0.02930192754572	ZNF665
745	ENSG00000137947	1	89318614	0.0294989104628651	GTF2B
746	ENSG00000178665	7	55955168	0.0296484982419131	ZNF713
747	ENSG00000106031	7	27233121	0.0304306326988106	HOXA13
748	ENSG00000176842	16	54964773	0.0318613851208764	IRX5
749	ENSG00000181450	1	227751243	0.0318968714977664	ZNF678
750	ENSG00000161914	19	11594241	0.0319547752737569	ZNF653
751	ENSG00000105698	19	35759880	0.0322246849026285	USF2
752	ENSG00000172819	12	53604353	0.0323134085554537	RARG
753	ENSG00000176083	1	26688124	0.032418562515703	ZNF683
754	ENSG00000177683	7	108194986	0.0326636592916763	THAP5
755	ENSG00000187079	11	12695968	0.0326915895501797	TEAD1
756	ENSG00000203883	20	62679075	0.0327592010996372	SOX18
757	ENSG00000115568	2	219502638	0.0328713859380757	ZNF142
758	ENSG00000143178	1	168250277	0.0329304961967466	TBX19
759	ENSG00000086102	9	33290508	0.0332742654979489	NFX1
760	ENSG00000198538	19	53304562	0.0333521132534016	ZNF28
761	ENSG00000167785	19	8920379	0.0335782248874485	ZNF558
762	ENSG00000163435	1	201977072	0.0337386788529363	ELF3
763	ENSG00000165655	10	77157587	0.0346630437016736	ZNF503
764	ENSG00000179348	3	128198269	0.0351973355945122	GATA2
765	ENSG00000185669	16	88744089	0.0357600134730571	SNAI3
766	ENSG00000269343	19	58331098	0.0361175442518607	ZNF587B
767	ENSG00000221923	19	52873169	0.0361274833717851	ZNF880
768	ENSG00000174738	3	23986750	0.0370612039218036	NR1D2
769	ENSG00000197343	7	99156028	0.037965972342128	ZNF655
770	ENSG00000128604	7	128577665	0.0386064748556725	IRF5
771	ENSG00000088881	20	2673523	0.0389348225146892	EBF4
772	ENSG00000162664	1	90460670	0.0391211341356469	ZNF326
773	ENSG00000184492	2	114256660	0.0398354296562438	FOXD4L1
774	ENSG00000178917	3	44540461	0.0398595248489459	ZNF852
775	ENSG00000177426	18	3411605	0.0401761971486741	TGIF1
776	ENSG00000126746	12	6775642	0.0403665931875165	ZNF384
777	ENSG00000130584	20	62375018	0.0404408741230686	ZBTB46
778	ENSG00000183770	3	138663065	0.0405691587324227	FOXL2
779	ENSG00000104903	19	13209846	0.0406595617092884	LYL1
780	ENSG00000186564	1	47901688	0.0407984450515916	FOXD2
781	ENSG00000146676	7	44915895	0.0408158408967604	PURB
782	ENSG00000109705	4	13542453	0.0408663055285575	NKX3-2
783	ENSG00000253293	7	27210209	0.0409590548852979	HOXA10
784	ENSG00000119725	14	74353319	0.041028162026848	ZNF410
785	ENSG00000099326	19	59073297	0.0420622645041595	MZF1
786	ENSG00000180532	19	58180302	0.0423776507031291	ZSCAN4
787	ENSG00000196843	2	97202479	0.0427276717755592	ARID5A
788	ENSG00000140009	14	64550949	0.0430632301122973	ESR2
789	ENSG00000172789	12	54426636	0.0434554685806019	HOXC5
790	ENSG00000136870	9	104161154	0.0438790680498561	ZNF189
791	ENSG00000118707	20	35201890	0.0439646721490733	TGIF2
792	ENSG00000137504	11	85370751	0.0441825243775634	CREBZF
793	ENSG00000197037	7	99214568	0.0442691929026141	ZSCAN25
794	ENSG00000130182	16	3138894	0.0443878107869668	ZSCAN10
795	ENSG00000125520	20	62371213	0.0449554873172087	SLC2A4RG
796	ENSG00000118156	19	48023941	0.0451337841066318	ZNF541
797	ENSG00000163848	3	124944404	0.0456563439704408	ZNF148
798	ENSG00000189180	10	38299577	0.046056305888861	ZNF33A
799	ENSG00000005073	7	27221128	0.0461992241364639	HOXA11
800	ENSG00000120068	17	46688738	0.0478561351394476	HOXB8
801	ENSG00000171161	1	249132408	0.0480433990560867	ZNF672
802	ENSG00000114861	3	71003843	0.0480573797239693	FOXP1
803	ENSG00000171116	23	148855725	0.0482939769918805	HSFX1
804	ENSG00000161642	12	54762916	0.0483576379816506	ZNF385A
805	ENSG00000182986	19	53367042	0.0486873207574307	ZNF320
806	ENSG00000127989	7	91321322	0.0488757329918011	MTERF1
807	ENSG00000138795	4	108968700	0.0491188438202241	LEF1
808	ENSG00000167766	19	53097312	0.0493583571098132	ZNF83
809	ENSG00000188095	15	90303821	0.0493651160148674	MESP2
810	ENSG00000168826	4	4291923	0.0498199050905493	ZBTB49
811	ENSG00000243660	10	43932281	0.0499964688228703	ZNF487
812	ENSG00000189079	12	46123447	0.0508540427365215	ARID2
813	ENSG00000198482	19	53030904	0.0511232539991537	ZNF808
814	ENSG00000170100	16	89284117	0.0512111493283425	ZNF778
815	ENSG00000167637	19	44331443	0.0514686505582188	ZNF283
816	ENSG00000110777	11	111228250	0.0520327279866401	POU2AF1
817	ENSG00000157657	9	116638561	0.0528252590819345	ZNF618
818	ENSG00000198517	7	1570349	0.0536442886635765	MAFK
819	ENSG00000197062	6	28234787	0.0540796131508334	ZSCAN26
820	ENSG00000180257	19	53430387	0.0541702119109438	ZNF816
821	ENSG00000159588	1	46085715	0.0544944692051766	CCDC17
822	ENSG00000170577	2	45232299	0.0552203754051829	SIX2
823	ENSG00000087903	19	5993174	0.0556986492472466	RFX2
824	ENSG00000131668	9	96713904	0.0565308159280869	BARX1
825	ENSG00000076108	12	56989379	0.0566555932141113	BAZ2A
826	ENSG00000111087	12	57853917	0.0574346035696998	GLI1
827	ENSG00000134317	2	10085340	0.0574934760989797	GRHL1
828	ENSG00000197128	19	57978030	0.0575191000577007	ZNF772
829	ENSG00000174963	3	147103832	0.0580786755988652	ZIC4
830	ENSG00000139651	12	53574483	0.0582278836627964	ZNF740
831	ENSG00000081059	5	133450401	0.0586508134331247	TCF7
832	ENSG00000166349	11	36537013	0.0588102270665926	RAG1
833	ENSG00000175279	1	10490158	0.0591060094629596	CENPS
834	ENSG00000164778	7	155250823	0.0594027972401704	EN2
835	ENSG00000122859	10	71331453	0.0596046388972374	NEUROG3
836	ENSG00000111704	12	7940389	0.0603208740643954	NANOG
837	ENSG00000181827	15	56379665	0.0610431430616335	RFX7
838	ENSG00000196793	10	44051791	0.0644406974358934	ZNF239
839	ENSG00000183734	11	2289724	0.0650967738135908	ASCL2
840	ENSG00000188321	19	9434447	0.0651244422798267	ZNF559
841	ENSG00000189144	19	38229202	0.0653674425308205	ZNF573
842	ENSG00000160908	7	99084141	0.0655484390380695	ZNF394
843	ENSG00000198546	10	135122913	0.0658775980646352	ZNF511
844	ENSG00000198182	19	38187263	0.066599098639145	ZNF607
845	ENSG00000178764	8	123793632	0.0683609470431734	ZHX2
846	ENSG00000172379	15	80696691	0.0684574844309645	ARNT2
847	ENSG00000112511	6	33378175	0.0694216646808633	PHF1
848	ENSG00000171872	1	44584521	0.0694549179751414	KLF17
849	ENSG00000118058	11	118307204	0.0696600116858505	KMT2A
850	ENSG00000177946	16	90036205	0.0696780070363151	CENPBD1
851	ENSG00000188295	1	247263263	0.070066100662015	ZNF669
852	ENSG00000249709	19	12636183	0.0707494270069357	ZNF564
853	ENSG00000151612	4	146678778	0.0711170886348516	ZNF827
854	ENSG00000197921	1	2460183	0.0714403137739861	HES5
855	ENSG00000168310	4	185308866	0.0716835286949135	IRF2
856	ENSG00000169297	23	30322322	0.0735312343999436	NR0B1
857	ENSG00000120093	17	46627173	0.0737305585688248	HOXB3
858	ENSG00000196967	19	37597635	0.074160374825828	ZNF585A
859	ENSG00000170365	4	146402345	0.0768420075129285	SMAD1
860	ENSG00000163497	2	219845808	0.076849140589492	FEV
861	ENSG00000131115	19	44711699	0.0785573034953754	ZNF227
862	ENSG00000180938	8	125985539	0.080017776838422	ZNF572
863	ENSG00000142556	19	52516017	0.0801870826253839	ZNF614
864	ENSG00000113430	5	1877540	0.0803301903681596	IRX4
865	ENSG00000122482	1	91380858	0.0807898650592885	ZNF644
866	ENSG00000143365	1	151778546	0.0818971128750353	RORC
867	ENSG00000081665	19	19896647	0.0825472676540975	ZNF506
868	ENSG00000257591	19	12251031	0.0827334197948571	ZNF625
